date,tempmin,tempmax,atemp,result
1/4/2021,22,33,27.5,0
2/4/2021,23,32,27.5,0
3/4/2021,23,33,28,0
4/4/2021,23,32,27.5,0
5/4/2021,22,35,28.5,1
6/4/2021,23,35,29,1
7/4/2021,22,35,28.5,1
8/4/2021,22,35,28.5,1
9/4/2021,22,35,28.5,1
10/4/2021,23,36,29.5,1
11/4/2021,22,35,28.5,1
12/4/2021,22,33,27.5,0
13/4/2021,22,33,27.5,0
14/4/2021,22,34,28,0
15/4/2021,22,34,28,0
16/4/2021,22,35,28.5,1
17/4/2021,22,34,28,0
18/4/2021,23,34,28.5,1
19/4/2021,23,32,27.5,0
20/4/2021,22,33,27.5,0
21/4/2021,22,32,27,0
22/4/2021,22,35,28.5,1
23/4/2021,22,33,27.5,0
24/4/2021,22,36,29,1
25/4/2021,24,34,29,1
26/4/2021,23,34,28.5,1
27/4/2021,23,33,28,0
28/4/2021,22,33,27.5,0
29/4/2021,21,33,27,0
30/4/2021,22,33,27.5,0
1/5/2021,22,33,27.5,0
2/5/2021,22,32,27,0
3/5/2021,22,36,29,1
4/5/2021,22,35,28.5,1
5/5/2021,23,34,28.5,1
6/5/2021,23,30,26.5,0
7/5/2021,22,35,28.5,1
8/5/2021,22,32,27,0
9/5/2021,21,34,27.5,0
10/5/2021,22,35,28.5,1
11/5/2021,22,37,29.5,1
12/5/2021,21,36,28.5,1
13/5/2021,24,34,29,1
14/5/2021,23,34,28.5,1
15/5/2021,24,35,29.5,1
16/5/2021,22,36,29,1
17/5/2021,22,35,28.5,1
18/5/2021,23,31,27,0
19/5/2021,23,33,28,0
20/5/2021,24,33,28.5,1
21/5/2021,23,31,27,0
22/5/2021,23,31,27,0
23/5/2021,21,29,25,0
24/5/2021,21,33,27,0
25/5/2021,21,33,27,0
26/5/2021,21,32,26.5,0
27/5/2021,21,31,26,0
28/5/2021,21,31,26,0
29/5/2021,21,33,27,0
30/5/2021,22,32,27,0
31/5/2021,22,33,27.5,0
1/6/2021,22,36,29,1
2/6/2021,22,34,28,0
3/6/2021,23,36,29.5,1
4/6/2021,23,35,29,1
5/6/2021,23,31,27,0
6/6/2021,23,33,28,0
7/6/2021,23,33,28,0
8/6/2021,22,32,27,0
9/6/2021,22,30,26,0
10/6/2021,21,31,26,0
11/6/2021,22,32,27,0
12/6/2021,21,32,26.5,0
13/6/2021,19,32,25.5,0
14/6/2021,21,33,27,0
15/6/2021,21,33,27,0
16/6/2021,21,33,27,0
17/6/2021,23,34,28.5,1
18/6/2021,21,34,27.5,0
19/6/2021,21,33,27,0
20/6/2021,20,33,26.5,0
21/6/2021,21,33,27,0
22/6/2021,20,32,26,0
23/6/2021,21,31,26,0
24/6/2021,20,33,26.5,0
25/6/2021,21,32,26.5,0
26/6/2021,20,32,26,0
27/6/2021,21,33,27,0
28/6/2021,20,32,26,0
29/6/2021,25,31,28,0
30/6/2021,21,32,26.5,0
