tempmin,tempmax,atemp,result
22,33,27.5,0
23,32,27.5,0
23,33,28,0
23,32,27.5,0
22,35,28.5,1
23,35,29,1
22,35,28.5,1
22,35,28.5,1
22,35,28.5,1
23,36,29.5,1
22,35,28.5,1
22,33,27.5,0
22,33,27.5,0
22,34,28,0
22,34,28,0
22,35,28.5,1
22,34,28,0
23,34,28.5,1
23,32,27.5,0
22,33,27.5,0
22,32,27,0
22,35,28.5,1
22,33,27.5,0
22,36,29,1
24,34,29,1
23,34,28.5,1
23,33,28,0
22,33,27.5,0
21,33,27,0
22,33,27.5,0
22,33,27.5,0
22,32,27,0
22,36,29,1
22,35,28.5,1
23,34,28.5,1
23,30,26.5,0
22,35,28.5,1
22,32,27,0
21,34,27.5,0
22,35,28.5,1
22,37,29.5,1
21,36,28.5,1
24,34,29,1
23,34,28.5,1
24,35,29.5,1
22,36,29,1
22,35,28.5,1
23,31,27,0
23,33,28,0
24,33,28.5,1
23,31,27,0
23,31,27,0
21,29,25,0
21,33,27,0
21,33,27,0
21,32,26.5,0
21,31,26,0
21,31,26,0
21,33,27,0
22,32,27,0
22,33,27.5,0
22,36,29,1
22,34,28,0
23,36,29.5,1
23,35,29,1
23,31,27,0
23,33,28,0
23,33,28,0
22,32,27,0
22,30,26,0
21,31,26,0
22,32,27,0
21,32,26.5,0
19,32,25.5,0
21,33,27,0
21,33,27,0
21,33,27,0
23,34,28.5,1
21,34,27.5,0
21,33,27,0
20,33,26.5,0
21,33,27,0
20,32,26,0
21,31,26,0
20,33,26.5,0
21,32,26.5,0
20,32,26,0
21,33,27,0
20,32,26,0
25,31,28,0
21,32,26.5,0
